fecha,empresa,vertical,ciudad_pais,decisor,canal_contacto_sugerido,fuente_url,dolor_observado,evidencia_url,propuesta_1_linea,score,estado,prox_accion,valor_potencial
"2026-06-22","Emporio Dance","academias","Plaza Venezuela, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/emporio.dance","Instagram activo con 21K seguidores pero sin sitio web propio. Toda la comunicación comercial se canaliza por WhatsApp/DM. No hay landing page con oferta clara, horarios, precios o testimonios visibles. La bio de Instagram tiene CTA débil sin enlace funcional a web.","https://www.tiktok.com/@emporiodance","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page institucional con paquetes de clases, horarios y precios claros. Integración con WhatsApp Business para automatizar consultas frecuentes. Sistema de reserva de clases online. Costo estimado: $199 landing + opcional automatización desde $699. Si hay encaje, piloto IA desde USD 899/14 días.","8","pendiente","Revisar y aprobar borrador en /ops; enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Academia Alta Costura","academias","Dos Caminos, Caracas, Venezuela","Por validar","instagram_dm","https://academialtacostura.com","Instagram muy activo con 32K seguidores pero el sitio web está en 'coming soon' sin funcionar. Dependencia total de WhatsApp para inscripciones y consultas. No hay catálogo digital de cursos, precios visibles ni sistema de registro online. Oferta de cursos poco clara sin web.","https://www.instagram.com/academialtacostura","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Completar y activar el sitio web con catálogo de cursos, horarios, precios e inscripción online. Landing page profesional con los distintos niveles (básico, avanzado, intensivos). Integración con WhatsApp Business para automatizar respuestas. Inversión desde $199 landing + automatización desde $699. Si hay encaje, piloto IA desde USD 899/14 días.","8","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","CMOL | Consultorio Odontológico","clinicas","CCCT, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/cmol.ccs","Zero web presence — no website, no landing page, no Linktree. No online booking capability. All patient acquisition depends on Instagram reach and manual WhatsApp conversations. Cannot showcase services, pricing, or credentials in a structured digital format.","https://www.facebook.com/p/CMOL-61557677078959","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. allok can sell a Landing/Web solution: a professional dental clinic website with service catalog, online appointment scheduling (Google Calendar or Calendly integration), and WhatsApp click-to-chat. A simple CRM/automation could confirm and remind appointments, reducing no-shows. Si hay encaje, piloto IA desde USD 899/14 días.","8","pendiente","Revisar y aprobar borrador en /ops; enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Clínica Nueva Caracas","clinicas","Caracas, Venezuela","Por validar","instagram_dm","https://www.clinicanuevacaracas.com","The website homepage fails to load entirely, turning away potential patients. No online booking system exists. Working subpages show outdated 2022 content. The clinic relies solely on phone/WhatsApp/Instagram DMs to manage appointments despite having strong social media traffic.","https://www.instagram.com/clinicanuevacaracas","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. allok can build a modern landing page + website (USD 199) with service catalog, doctor profiles, and location info. Add online appointment booking (from USD 499) and WhatsApp integration to capture the 32K Instagram audience and convert them into scheduled patients. Si hay encaje, piloto IA desde USD 899/14 días.","8","pendiente","Revisar y aprobar borrador en /ops; enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Tapete Teatro","academias","Bello Campo, Chacao, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/tapeteteatro","Sin sitio web propio a pesar de mencionar 'página web' en publicaciones. La URL referenciada no es propia. Instagram activo pero sin landing page con información de cursos, horarios, niveles o costos. No hay forma de inscribirse online. Dependencia total de llamadas telefónicas.","https://agendaculturalccs.com/blog/2026/03/30/tapete-cumple-12-anos-con-el-lanzamiento-de-festeca","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page institucional con información de talleres, horarios, niveles (infantil, juvenil, adultos) y precios. Galería de obras y testimonios. Formulario de inscripción online. Integración con WhatsApp Business. Desde $199 landing. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Vizcaya Studio","academias","CC Paseo Las Mercedes, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/vizcaya.studio","Sin página web ni landing page. Instagram activo pero no hay un lugar centralizado con horarios, tipos de clases, precios o instructores. La bio solo dice 'Contáctanos DM WhatsApp' sin enlace directo funcional. La información comercial está dispersa en posts y stories.","https://www.tiktok.com/@vizcaya.studio","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page con las disciplinas (baile, Pilates Reformer), horarios, tarifas y perfiles de instructores. Integración con WhatsApp Business para consultas. Posible sistema de reserva de clases. Desde $199. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Acrodanzarte Academia de Danza","academias","Av. San Martín, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/acrodanzartevzla","Sin página web ni landing page. Instagram activo pero la bio solo muestra un número telefónico. No hay información estructurada de horarios, disciplinas, precios o edades. La oferta es confusa y requiere llamada telefónica para obtener detalles básicos.","https://www.facebook.com/100078358787782","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page con las disciplinas ofrecidas (ballet, contemporáneo, acrobacias, yoga, pilates), horarios por edad/nivel, precios e inscripción online. Integración con WhatsApp Business. Desde $199. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","MiProfeUSB Clases Particulares","academias","Gran Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/miprofeusb","Usa Linktree en vez de sitio web propio, lo que limita la personalización y credibilidad profesional. Sin landing page con información de materias, niveles, tarifas o perfiles de profesores. No hay sistema de reserva o inscripción online. La oferta de servicios se pierde en las redes sociales.","https://www.tiktok.com/@miprofeusb","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page profesional con catálogo de materias, niveles (primaria, bachillerato, universidad), tarifas y perfiles de instructores. Sistema de solicitud de clases online. Integración con WhatsApp Business. Desde $199 landing + opcional automatización. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Escuela de Música Solyartes","academias","Chacao, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/escuela.solyartes","Sin sitio web visible ni landing page. Instagram activo pero sin enlace funcional a web. No hay catálogo de instrumentos, niveles, precios ni horarios visibles. La información de modalidades (online, a domicilio, presencial) está desorganizada. Dependencia de DM para consultas.","https://www.instagram.com/escuela.solyartes","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page con catálogo de instrumentos y cursos, modalidades (presencial en Chacao, a domicilio, online), precios y horarios. Formulario de inscripción y contacto. Integración WhatsApp. Desde $199. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
"2026-06-22","Creación Latina Academia de Baile","academias","Parroquia San Juan, Caracas, Venezuela","Por validar","instagram_dm","https://www.instagram.com/creacionlatina","Instagram activo pero sin página web propia. No hay landing ni catálogo digital de cursos. La bio usa solo WhatsApp como contacto. Sin testimonios visibles ni prueba social organizada. La oferta de cursos y horarios es difícil de encontrar sin contactar directamente.","https://www.facebook.com/100047724648975","Diagnóstico gratuito: 2 hallazgos verificables sobre web/WhatsApp + siguiente paso. Landing page con catálogo de cursos, horarios por disciplina (bachata, salsa, infantil), precios y formulario de inscripción. Integración con WhatsApp Business para consultas automáticas. Desde $199. Si hay encaje, piloto IA desde USD 899/14 días.","7","pendiente","Preparar y enviar diagnóstico gratuito de 2 hallazgos","piloto_899"
